Season1,Wakz,K9 Dumps,Voracity,Trent,IRG
Season2,Keegz,Findo,Manflap,Catslayer,Pretz
Season3,Peaceful,Findo,Pretz,Loyal Doggo,Envious 
Season4,K9 Dumps,I'll Do Better,Voracity,Gary,JoshyBoi
Season5,Findo,Cadence,EzLyfe,Envious,Peaceful
Season6,Brain,Hpnotik,Sammy,Vinx,Zacknado
